epoch,accuracy,loss,lr,top_3_accuracy,val_accuracy,val_loss,val_top_3_accuracy
0,0.5465157628059387,1.6189777851104736,5e-05,0.7965750098228455,0.6362653374671936,1.3129832744598389,0.9224945902824402
1,0.7560440897941589,1.2029914855957031,5e-05,0.9123607277870178,0.7299928069114685,1.145563006401062,0.9621485471725464
2,0.8219364881515503,1.0578014850616455,5e-05,0.9392036199569702,0.7766762971878052,1.0313667058944702,0.9837779402732849
3,0.8528087139129639,0.9926716089248657,5e-05,0.9456032514572144,0.8188536167144775,0.9640076756477356,0.9841384291648865
4,0.8811922073364258,0.9325474500656128,5e-05,0.9568025469779968,0.7564888000488281,1.1266003847122192,0.9792718291282654
5,0.8924508094787598,0.9110555648803711,5e-05,0.9563877582550049,0.8577865958213806,0.9203240871429443,0.9861211180686951
6,0.8995022773742676,0.8822336792945862,5e-05,0.9616022706031799,0.8410238027572632,0.9267699718475342,0.9873828291893005
7,0.9127755165100098,0.8551005125045776,5e-05,0.9656316637992859,0.7954217791557312,0.9965429306030273,0.9767484068870544
8,0.916508674621582,0.8476423621177673,5e-05,0.9653946161270142,0.7968637347221375,1.018964409828186,0.9819754958152771
9,0.9208935499191284,0.8297829627990723,5e-05,0.9655724167823792,0.7685652375221252,1.058520793914795,0.9794520735740662
10,0.9262858629226685,0.8127918243408203,5e-05,0.9683574438095093,0.802992045879364,1.0017575025558472,0.9837779402732849
11,0.9382554888725281,0.7848791480064392,2.5e-05,0.9700758457183838,0.8406633138656616,0.9098605513572693,0.992609977722168
12,0.9406257271766663,0.7745845913887024,2.5e-05,0.9701943397521973,0.8419250249862671,0.899470329284668,0.9884642958641052
13,0.9424034357070923,0.769784152507782,2.5e-05,0.9745200276374817,0.8415645360946655,0.925486147403717,0.9796323180198669
14,0.9468476176261902,0.7627929449081421,2.5e-05,0.9746977686882019,0.8426460027694702,0.9158551692962646,0.9826964735984802
15,0.950343668460846,0.7522715330123901,2.5e-05,0.9754088521003723,0.8496755361557007,0.9029278755187988,0.981254518032074
16,0.9489215612411499,0.753299355506897,2.5e-05,0.9755866527557373,0.8222783207893372,0.9694219827651978,0.987022340297699
17,0.9492177963256836,0.7522073984146118,2.5e-05,0.9729793667793274,0.8026315569877625,1.027421236038208,0.975666880607605
18,0.9507584571838379,0.7405925393104553,1.25e-05,0.9746977686882019,0.831470787525177,0.9522498250007629,0.9792718291282654
19,0.9533064961433411,0.7356027364730835,1.25e-05,0.9762384295463562,0.8570656180381775,0.9002261161804199,0.9850396513938904
